Date,temperature,radiation,total,total_filter
2021-01-04 22:30:00+00:00,6.699999999999999,0.0,4.890999999995269,4.977999999999435
2021-01-04 22:45:00+00:00,6.5,0.0,4.478000000002249,4.703999999999199
2021-01-04 23:00:00+00:00,6.3,0.0,4.743000000000079,4.418000000000363
2021-01-04 23:15:00+00:00,6.025,0.0,4.032999999998764,4.303999999999422
2021-01-04 23:30:00+00:00,5.75,0.0,4.135999999999424,4.238333333333048
2021-01-04 23:45:00+00:00,5.475,0.0,4.546000000000956,4.073666666667223
2021-01-05 00:00:00+00:00,5.2,0.0,3.5390000000012924,3.7900000000008975
2021-01-05 00:15:00+00:00,5.125,0.0,3.2850000000004487,3.349333333333483
2021-01-05 00:30:00+00:00,5.050000000000001,0.0,3.223999999998709,2.851999999999489
2021-01-05 00:45:00+00:00,4.9750000000000005,0.0,2.046999999999312,2.5633333333331128
2021-01-05 01:00:00+00:00,4.9,0.0,2.4190000000013177,2.2240000000007067
2021-01-05 01:15:00+00:00,4.7,0.0,2.206000000001492,2.3560000000004
2021-01-05 01:30:00+00:00,4.5,0.0,2.4429999999983893,2.245666666666814
2021-01-05 01:45:00+00:00,4.3,0.0,2.0880000000005623,2.268333333333533
2021-01-05 02:00:00+00:00,4.1,0.0,2.274000000001648,2.348999999999467
2021-01-05 02:15:00+00:00,3.975,0.0,2.6849999999961907,2.4733333333329663
2021-01-05 02:30:00+00:00,3.85,0.0,2.461000000001061,2.837666666666125
2021-01-05 02:45:00+00:00,3.725,0.0,3.3670000000011244,2.9982500000009336
2021-01-05 03:00:00+00:00,3.54375,0.0,3.166750000000616,3.1667500000006155
2021-01-05 03:15:00+00:00,3.3625,0.0,2.9665000000001074,2.966500000000107
2021-01-05 03:30:00+00:00,3.18125,0.0,2.7662499999995998,2.7662499999995998
2021-01-05 03:45:00+00:00,3.0,0.0,2.565999999999091,2.489083333332722
2021-01-05 04:00:00+00:00,2.8,0.0,2.134999999999477,2.414000000000952
2021-01-05 04:15:00+00:00,2.325,0.0,2.541000000004288,2.347333333334072
2021-01-05 04:30:00+00:00,1.85,0.0,2.3659999999984502,2.545000000000072
2021-01-05 04:45:00+00:00,1.375,0.0,2.727999999997478,2.7633333333319654
2021-01-05 05:00:00+00:00,0.9,0.0,3.195999999999967,2.9106666666658967
2021-01-05 05:15:00+00:00,0.95,0.0,2.8080000000002467,3.0223333333343376
2021-01-05 05:30:00+00:00,1.0,0.0,3.0630000000028006,2.891333333333675
2021-01-05 05:45:00+00:00,1.05,0.0,2.8029999999979776,2.931333333334633
2021-01-05 06:00:00+00:00,1.1,0.0,2.9280000000031223,2.916333333332553
2021-01-05 06:15:00+00:00,0.875,0.0,3.0179999999965603,3.026666666666641
2021-01-05 06:30:00+00:00,0.65,0.0,3.134000000000241,3.468333333332469
2021-01-05 06:45:00+00:00,0.4249999999999999,0.0,4.253000000000608,3.574333333333923
2021-01-05 07:00:00+00:00,0.2,0.0,3.33600000000092,4.027666666666804
2021-01-05 07:15:00+00:00,0.575,4.25,4.493999999998887,3.9316666666675215
2021-01-05 07:30:00+00:00,0.95,8.5,3.965000000002758,4.191333333333419
2021-01-05 07:45:00+00:00,1.325,12.750000000000002,4.114999999998613,4.145333333333002
2021-01-05 08:00:00+00:00,1.7,17.0,4.355999999997633,4.306666666665948
2021-01-05 08:15:00+00:00,2.375,50.0,4.4490000000016,4.741333333332731
2021-01-05 08:30:00+00:00,3.05,83.0,5.41899999999896,5.061000000000278
2021-01-05 08:45:00+00:00,3.725,116.0,5.315000000000273,5.69533333333375
2021-01-05 09:00:00+00:00,4.4,149.0,6.352000000002016,6.294000000000158
2021-01-05 09:15:00+00:00,4.9750000000000005,188.0,7.214999999998186,6.565000000000109
2021-01-05 09:30:00+00:00,5.550000000000001,227.0,6.128000000000124,6.97633333333268
2021-01-05 09:45:00+00:00,6.125,266.0,7.58599999999973,7.281999999999962
2021-01-05 10:00:00+00:00,6.7,305.0,8.132000000000033,7.559666666667025
2021-01-05 10:15:00+00:00,7.175,336.0,6.961000000001311,7.215333333333425
